Date,In AH,In kWh,Out AH,Out kWh,Net AH,Net kWh,Min SOC
 5/26/26,   780,  42.370,   464,  24.750,   316,  17.620, 69
 5/25/26,   281,  15.120,   450,  23.980,  -169,  -8.860, 71
 5/24/26,   233,  12.550,   397,  21.270,  -164,  -8.720, 82
 5/23/26,   460,  25.060,   415,  22.360,    45,   2.700, 87
 5/22/26,   368,  20.100,   402,  21.650,   -34,  -1.550, 90
 5/21/26,   445,  24.280,   384,  20.830,    61,   3.450, 88
 5/20/26,   387,  21.160,   392,  21.180,    -5, -0.020, 90
 5/19/26,   407,  22.220,   369,  19.930,    38,   2.290, 89
 5/18/26,   414,  22.380,   412,  22.060,     2,   0.320, 89
 5/17/26,   408,  22.330,   398,  21.430,    10,   0.900, 89
 5/16/26,   516,  28.170,   405,  21.800,   111,   6.370, 85
 5/15/26,   296,  15.970,   359,  19.220,   -63,  -3.250, 86
 5/14/26,   341,  18.660,   344,  18.400,    -3,   0.260, 90
 5/13/26,   311,  16.710,   323,  17.380,   -12, -0.670, 91
 5/12/26,   324,  17.730,   308,  16.570,    16,   1.160, 91
 5/11/26,   384,  20.930,   307,  16.470,    77,   4.460, 87
 5/10/26,   280,  15.120,   328,  17.560,   -48,  -2.440, 89
 5/09/26,   355,  19.410,   341,  18.360,    14,   1.050, 91
 5/08/26,   367,  20.120,   343,  18.490,    24,   1.630, 90
 5/07/26,   459,  25.070,   354,  18.950,   105,   6.120, 84
 5/06/26,   373,  20.170,   441,  23.630,   -68,  -3.460, 87
 5/05/26,   424,  23.290,   366,  19.510,    58,   3.780, 91
 5/04/26,   600,  32.540,   358,  19.070,   242,  13.470, 74
 5/03/26,   189,  10.210,   354,  18.900,  -165,  -8.690, 76
 5/02/26,   195,  10.500,   251,  13.430,   -56,  -2.930, 86
 5/01/26,   770,  41.850,   327,  17.620,   443,  24.230, 66
 4/30/26,    87,   4.670,   403,  21.390,  -316, -16.720, 67
 4/29/26,   310,  16.710,   395,  21.190,   -85,  -4.480, 85
 4/28/26,   368,  20.160,   361,  19.480,     7,   0.680, 90
 4/27/26,   315,  17.220,   337,  18.230,   -22,  -1.010, 91
 4/26/26,   438,  24.030,   254,  13.450,   184,  10.580, 78
 4/25/26,   775,  42.080,   281,  15.110,   494,  26.970, 53
 4/24/26,   570,  30.720,   403,  21.500,   167,   9.220, 46
 4/23/26,   544,  29.280,   442,  23.270,   102,   6.010, 34
 4/22/26,   307,  16.420,  1130,  59.750,  -823, -43.330, 44
 4/21/26,   445,  24.300,   470,  25.260,   -25, -0.960, 88
 4/20/26,   437,  23.950,   290,  15.600,   147,   8.350, 85
 4/19/26,    83,   4.500,   223,  11.940,  -140,  -7.440, 86
 4/18/26,   215,  11.750,   204,  10.890,    11,   0.860, 93
 4/17/26,   368,  20.050,   233,  12.450,   135,   7.600, 86
 4/16/26,   211,  11.440,   286,  15.340,   -75,  -3.900, 88
 4/15/26,   311,  17.000,   298,  16.050,    13,   0.950, 91
 4/14/26,   320,  17.550,   303,  16.310,    17,   1.240, 92
 4/13/26,   241,  13.100,   268,  14.360,   -27,  -1.260, 93
 4/12/26,   190,  10.410,   178,   9.530,    12,   0.880, 94
 4/11/26,   190,  10.440,   179,   9.670,    11,   0.770, 94
 4/10/26,   227,  12.470,   207,  11.180,    20,   1.290, 94
 4/09/26,   452,  24.710,   227,  12.200,   225,  12.510, 79
 4/08/26,   613,  33.510,   583,  31.290,    30,   2.220, 79
 4/07/26,   311,  16.950,   459,  24.460,  -148,  -7.510, 83
 4/06/26,   465,  25.380,   231,  12.340,   234,  13.040, 79
 4/05/26,    75,   4.000,   187,  10.040,  -112,  -6.040, 80
 4/04/26,   224,  12.310,   319,  16.930,   -95,  -4.620, 87
 4/03/26,   109,   5.930,   148,   7.930,   -39,  -2.000, 93
 4/02/26,   169,   9.260,   156,   8.400,    13,   0.860, 95
 4/01/26,   247,  13.480,   175,   9.280,    72,   4.200, 91
 3/31/26,    99,   5.310,   156,   8.410,   -57,  -3.100, 93
 3/30/26,   141,   7.810,   132,   7.100,     9,   0.710, 95
 3/29/26,   132,   7.200,   121,   6.520,    11,   0.680, 96
 3/28/26,   133,   7.330,   118,   6.440,    15,   0.890, 96
 3/27/26,   190,  10.430,   176,   9.460,    14,   0.970, 94
 3/26/26,   152,   8.260,   137,   7.300,    15,   0.960, 95
 3/25/26,   142,   7.930,   130,   7.040,    12,   0.890, 95
 3/24/26,   219,  12.080,   120,   6.360,    99,   5.720, 92
 3/23/26,   115,   6.270,   117,   6.290,    -2, -0.020, 92
 3/22/26,    66,   3.590,   116,   6.260,   -50,  -2.670, 93
 3/21/26,   135,   7.440,   121,   6.440,    14,   1.000, 95
 3/20/26,   129,   7.040,   120,   6.450,     9,   0.590, 96
 3/19/26,   130,   7.180,   118,   6.380,    12,   0.800, 96
 3/18/26,   133,   7.370,   118,   6.340,    15,   1.030, 96
 3/17/26,   206,  11.320,   118,   6.370,    88,   4.950, 92
 3/16/26,    63,   3.400,   119,   6.360,   -56,  -2.960, 93
 3/15/26,   165,   9.130,   153,   8.280,    12,   0.850, 96
 3/14/26,   138,   7.590,   123,   6.630,    15,   0.960, 95
 3/13/26,   298,  16.380,   135,   7.240,   163,   9.140, 87
 3/12/26,    67,   3.620,   200,  10.740,  -133,  -7.120, 89
 3/11/26,   141,   7.760,   131,   7.010,    10,   0.750, 95
 3/10/26,   143,   7.840,   126,   6.790,    17,   1.050, 96
 3/09/26,   214,  11.840,   116,   6.120,    98,   5.720, 92
 3/08/26,   165,   8.910,   119,   6.430,    46,   2.480, 90
 3/07/26,    68,   3.670,   149,   7.960,   -81,  -4.290, 91
 3/06/26,   129,   7.100,   130,   6.940,    -1,   0.160, 96
 3/05/26,   132,   7.260,   115,   6.190,    17,   1.070, 96
 3/04/26,   133,   7.400,   114,   6.080,    19,   1.320, 95
 3/03/26,   129,   7.090,   116,   6.260,    13,   0.830, 96
 3/02/26,   126,   7.010,   116,   6.220,    10,   0.790, 96
 3/01/26,   132,   7.270,   114,   6.140,    18,   1.130, 95
 2/28/26,   128,   7.000,   114,   6.030,    14,   0.970, 96
 2/27/26,   131,   7.260,   108,   5.840,    23,   1.420, 96
 2/26/26,   151,   8.350,   118,   6.290,    33,   2.060, 95
 2/25/26,   110,   5.940,   118,   6.420,    -8, -0.480, 95
 2/24/26,   252,  13.920,   116,   6.100,   136,   7.820, 90
 2/23/26,     9,   0.560,   117,   6.290,  -108,  -5.730, 91
 2/22/26,   128,   7.070,   110,   5.910,    18,   1.160, 96
 2/21/26,   192,  10.500,   145,   7.750,    47,   2.750, 91
 2/20/26,   126,   6.950,   143,   7.720,   -17, -0.770, 95
 2/19/26,   128,   7.090,   118,   6.410,    10,   0.680, 95
 2/18/26,   133,   7.330,   118,   6.310,    15,   1.020, 95
 2/17/26,   131,   7.250,   115,   6.160,    16,   1.090, 96
 2/16/26,   132,   7.280,   110,   5.860,    22,   1.420, 95
 2/15/26,   129,   7.170,   115,   6.090,    14,   1.080, 96
 2/14/26,   130,   7.140,   112,   6.060,    18,   1.080, 96
 2/13/26,   127,   7.010,   110,   5.970,    17,   1.040, 96
 2/12/26,   130,   7.200,   114,   6.090,    16,   1.110, 96
 2/11/26,   132,   7.360,   115,   6.130,    17,   1.230, 94
 2/10/26,   132,   7.330,   115,   6.110,    17,   1.220, 95
 2/09/26,   126,   6.950,   112,   6.170,    14,   0.780, 95
 2/08/26,   128,   7.040,   115,   6.190,    13,   0.850, 95
 2/07/26,   154,   8.450,   145,   7.750,     9,   0.700, 94
 2/06/26,   132,   7.230,   114,   6.180,    18,   1.050, 95
 2/05/26,   129,   7.230,   114,   6.070,    15,   1.160, 96
 2/04/26,   135,   7.430,   113,   6.020,    22,   1.410, 95
 2/03/26,   127,   7.060,   116,   6.180,    11,   0.880, 95
 2/02/26,   129,   7.120,   113,   6.120,    16,   1.000, 95
 2/01/26,   131,   7.260,   115,   6.150,    16,   1.110, 95
 1/31/26,   127,   7.010,   114,   6.160,    13,   0.850, 95
 1/30/26,   131,   7.270,   121,   6.510,    10,   0.760, 95
 1/29/26,   134,   7.360,   118,   6.390,    16,   0.970, 95
 1/28/26,   346,  19.020,   118,   6.110,   228,  12.910, 85
 1/27/26,    69,   3.810,   114,   6.070,   -45,  -2.260, 86
 1/26/26,    10,   0.560,   114,   6.050,  -104,  -5.490, 89
 1/25/26,    87,   4.780,   111,   6.000,   -24,  -1.220, 95
 1/24/26,   180,   9.890,   165,   8.860,    15,   1.030, 92
 1/23/26,   129,   7.130,   118,   6.350,    11,   0.780, 95
 1/22/26,   296,  16.360,   116,   5.960,   180,  10.400, 87
 1/21/26,   332,  18.170,   114,   6.190,   218,  11.980, 76
 1/20/26,    85,   4.620,   116,   6.260,   -31,  -1.640, 77
 1/19/26,     3,   0.300,   138,   7.340,  -135,  -7.040, 79
 1/18/26,    22,   1.210,   119,   6.410,   -97,  -5.200, 87
 1/17/26,    46,   2.520,   112,   6.030,   -66,  -3.510, 92
 1/16/26,   172,   9.490,   116,   6.090,    56,   3.400, 93
 1/15/26,    95,   5.230,   117,   6.280,   -22,  -1.050, 95
 1/14/26,   130,   7.150,   116,   6.200,    14,   0.950, 95
 1/13/26,   129,   7.090,   122,   6.610,     7,   0.480, 95
 1/12/26,   194,  10.730,   118,   6.320,    76,   4.410, 92
 1/11/26,    66,   3.520,   119,   6.470,   -53,  -2.950, 93
 1/10/26,   179,   9.840,   167,   8.890,    12,   0.950, 92
 1/09/26,   130,   7.190,   116,   6.270,    14,   0.920, 95
 1/08/26,   333,  18.360,   114,   6.040,   219,  12.320, 86
 1/07/26,    23,   1.290,   115,   6.140,   -92,  -4.850, 88
 1/06/26,    41,   2.290,   114,   6.120,   -73,  -3.830, 93
 1/05/26,   135,   7.470,   115,   6.080,    20,   1.390, 95
 1/04/26,   129,   7.150,   112,   6.000,    17,   1.150, 95
 1/03/26,   128,   7.070,   115,   6.240,    13,   0.830, 95
 1/02/26,   246,  13.600,   113,   6.030,   133,   7.570, 88
 1/01/26,     9,   0.520,   127,   6.790,  -118,  -6.270, 90
12/31/25,   482,  26.690,   116,   5.920,   366,  20.770, 79
12/30/25,   413,  22.550,   115,   6.180,   298,  16.370, 64
12/29/25,    18,   1.010,   119,   6.330,  -101,  -5.320, 65
12/28/25,   129,   7.040,   113,   6.100,    16,   0.940, 68
12/27/25,     5,   0.420,   138,   7.250,  -133,  -6.830, 71
12/26/25,    12,   0.680,   115,   6.130,  -103,  -5.450, 78
12/25/25,     2,   0.180,   116,   6.280,  -114,  -6.100, 84
12/24/25,     2,   0.110,   115,   6.270,  -113,  -6.160, 90
12/23/25,   125,   6.940,   113,   6.030,    12,   0.910, 95
12/22/25,   130,   7.180,   114,   6.130,    16,   1.050, 95
12/21/25,   130,   7.130,   116,   6.210,    14,   0.920, 95
12/20/25,   239,  13.180,   115,   6.180,   124,   7.000, 90
12/19/25,    26,   1.420,   117,   6.260,   -91,  -4.840, 91
12/18/25,   134,   7.400,   116,   6.240,    18,   1.160, 95
12/17/25,   124,   6.820,   116,   6.120,     8,   0.700, 95
12/16/25,   130,   7.230,   113,   6.160,    17,   1.070, 95
12/15/25,   208,  11.480,   115,   6.160,    93,   5.320, 91
12/14/25,    51,   2.750,   118,   6.400,   -67,  -3.650, 93
12/13/25,   151,   8.250,   135,   7.190,    16,   1.060, 95
12/12/25,   128,   7.050,   114,   6.150,    14,   0.900, 95
12/11/25,   182,  10.060,   114,   5.940,    68,   4.120, 93
12/10/25,    80,   4.370,   115,   6.200,   -35,  -1.830, 94
12/09/25,   130,   7.210,   113,   6.060,    17,   1.150, 95
12/08/25,   127,   6.940,   114,   6.130,    13,   0.810, 95
12/07/25,   200,  11.070,   112,   5.940,    88,   5.130, 92
12/06/25,    58,   3.140,   115,   6.220,   -57,  -3.080, 93
12/05/25,   155,   8.500,   114,   6.030,    41,   2.470, 94
12/04/25,   104,   5.720,   114,   6.150,   -10, -0.430, 95
12/03/25,   238,  13.060,   114,   6.050,   124,   7.010, 90
12/02/25,    25,   1.400,   117,   6.200,   -92,  -4.800, 91
12/01/25,   216,  11.860,   117,   6.350,    99,   5.510, 91
11/30/25,    46,   2.460,   117,   6.270,   -71,  -3.810, 92
11/29/25,   177,   9.810,   165,   8.970,    12,   0.840, 95
11/28/25,   132,   7.180,   118,   6.300,    14,   0.880, 95
11/27/25,   209,  11.510,   118,   6.230,    91,   5.280, 92
11/26/25,   105,   5.710,   118,   6.240,   -13, -0.530, 93
11/25/25,    86,   4.720,   117,   6.370,   -31,  -1.650, 95
11/24/25,   133,   7.300,   114,   6.160,    19,   1.140, 95
11/23/25,   133,   7.280,   118,   6.250,    15,   1.030, 95
11/22/25,   125,   6.770,   118,   6.350,     7,   0.420, 95
11/21/25,   131,   7.180,   117,   6.220,    14,   0.960, 95
11/20/25,   134,   7.390,   115,   6.180,    19,   1.210, 95
11/19/25,   130,   7.180,   119,   6.460,    11,   0.720, 95
11/18/25,   125,   6.890,   118,   6.410,     7,   0.480, 95
11/17/25,   186,  10.140,   117,   6.200,    69,   3.940, 93
11/16/25,    83,   4.560,   118,   6.330,   -35,  -1.770, 94
11/15/25,   163,   8.970,   144,   7.720,    19,   1.250, 95
11/14/25,   294,  16.240,   120,   6.200,   174,  10.040, 88
11/13/25,   249,  13.610,   152,   8.200,    97,   5.410, 83
11/12/25,   340,  18.510,   202,  10.790,   138,   7.720, 76
11/11/25,    70,   3.820,   167,   8.930,   -97,  -5.110, 78
11/10/25,    42,   2.220,   176,   9.450,  -134,  -7.230, 83
11/09/25,   148,   8.030,   170,   9.090,   -22,  -1.060, 90
11/08/25,   138,   7.480,   169,   9.090,   -31,  -1.610, 93
11/07/25,   214,  11.770,   191,  10.320,    23,   1.450, 93
11/06/25,   226,  12.380,   169,   9.040,    57,   3.340, 91
11/05/25,   119,   6.430,   175,   9.370,   -56,  -2.940, 93
11/04/25,   148,   8.200,   133,   7.110,    15,   1.090, 95
11/03/25,   146,   8.000,   134,   7.210,    12,   0.790, 95
11/02/25,   148,   8.140,   130,   7.030,    18,   1.110, 95
11/01/25,   174,   9.550,   133,   7.060,    41,   2.490, 95
10/31/25,   528,  28.780,   138,   7.280,   390,  21.500, 73
10/30/25,    79,   4.270,   257,  13.730,  -178,  -9.460, 75
10/29/25,   284,  15.400,   331,  17.740,   -47,  -2.340, 85
10/28/25,   404,  22.090,   356,  19.030,    48,   3.060, 82
10/27/25,   436,  23.710,   495,  26.540,   -59,  -2.830, 87
10/26/25,   195,  10.530,   247,  13.270,   -52,  -2.740, 90
10/25/25,   381,  20.800,   220,  11.460,   161,   9.340, 89
10/24/25,   620,  33.700,   324,  16.840,   296,  16.860, 62
10/23/25,   540,  29.280,   396,  21.240,   144,   8.040, 55
10/22/25,   183,   9.880,   344,  18.390,  -161,  -8.510, 58
10/21/25,   583,  31.590,   367,  19.720,   216,  11.870, 54
10/20/25,   155,   8.380,   533,  28.450,  -378, -20.070, 57
10/19/25,   562,  30.490,   267,  14.350,   295,  16.140, 62
10/18/25,   654,  35.310,   292,  15.640,   362,  19.670, 44
10/17/25,   646,  34.730,   414,  21.950,   232,  12.780, 32
10/16/25,    99,   5.230,   501,  26.370,  -402, -21.140, 36
10/15/25,   318,  17.140,   403,  21.630,   -85,  -4.490, 58
10/14/25,   451,  24.420,   430,  22.950,    21,   1.470, 60
10/13/25,   100,   5.380,   390,  20.810,  -290, -15.430, 65
10/12/25,   254,  13.670,   420,  22.510,  -166,  -8.840, 81
10/11/25,   357,  19.600,   306,  16.140,    51,   3.460, 83
10/10/25,   724,  39.290,   341,  18.320,   383,  20.970, 64
10/09/25,   730,  39.440,   451,  24.130,   279,  15.310, 49
10/08/25,    65,   3.500,   634,  33.650,  -569, -30.150, 54
10/07/25,   422,  22.820,   468,  25.160,   -46,  -2.340, 86
10/06/25,   301,  16.600,   350,  18.930,   -49,  -2.330, 90
10/05/25,   363,  19.800,   307,  16.670,    56,   3.130, 88
10/04/25,   362,  19.790,   356,  19.120,     6,   0.670, 88
10/03/25,   392,  21.470,   344,  18.560,    48,   2.910, 86
10/02/25,   414,  22.590,   422,  22.770,    -8, -0.180, 87
10/01/25,   443,  24.290,   407,  22.100,    36,   2.190, 86
 9/30/25,   443,  24.230,   455,  24.610,   -12, -0.380, 87
 9/29/25,   420,  23.010,   389,  21.100,    31,   1.910, 87
 9/28/25,   396,  21.740,   387,  20.990,     9,   0.750, 86
 9/27/25,   660,  35.980,   399,  21.190,   261,  14.790, 73
 9/26/25,   562,  30.440,   352,  18.870,   210,  11.570, 61
 9/25/25,    52,   2.850,   434,  23.130,  -382, -20.280, 66
 9/24/25,   402,  21.740,   397,  21.320,     5,   0.420, 85
 9/23/25,   377,  20.650,   406,  21.880,   -29,  -1.230, 88
 9/22/25,   344,  18.880,   340,  18.430,     4,   0.450, 89
 9/21/25,   377,  20.560,   342,  18.490,    35,   2.070, 88
 9/20/25,   392,  21.530,   381,  20.560,    11,   0.970, 88
 9/19/25,   308,  16.910,   340,  18.410,   -32,  -1.500, 91
 9/18/25,   450,  24.580,   375,  20.230,    75,   4.350, 84
 9/17/25,   482,  26.430,   437,  23.580,    45,   2.850, 85
 9/16/25,   457,  25.140,   483,  26.090,   -26, -0.950, 88
 9/15/25,   364,  19.950,   365,  19.760,    -1,   0.190, 89
 9/14/25,   793,  43.450,   753,  40.630,    40,   2.820, 87
 9/13/25,   397,  21.880,   389,  21.050,     8,   0.830, 88
 9/12/25,   402,  22.030,   385,  20.790,    17,   1.240, 88
 9/11/25,   431,  23.700,   425,  22.950,     6,   0.750, 88
 9/10/25,   463,  25.080,   407,  21.980,    56,   3.100, 85
 9/09/25,   639,  34.880,   412,  21.880,   227,  13.000, 73
 9/08/25,   553,  29.900,   315,  16.830,   238,  13.070, 62
 9/07/25,    86,   4.690,   398,  21.230,  -312, -16.540, 64
 9/06/25,   371,  19.980,   426,  22.890,   -55,  -2.910, 82
 9/05/25,   320,  17.330,   360,  19.300,   -40,  -1.970, 86
 9/04/25,   424,  23.120,   418,  22.610,     6,   0.510, 88
 9/03/25,   458,  25.080,   423,  22.800,    35,   2.280, 85
 9/02/25,   415,  22.620,   421,  22.660,    -6, -0.040, 87
 9/01/25,   370,  20.300,   390,  21.100,   -20, -0.800, 90
 8/31/25,   392,  21.430,   316,  16.850,    76,   4.580, 85
 8/30/25,   606,  32.870,   369,  19.870,   237,  13.000, 73
 8/29/25,   357,  19.240,   531,  28.350,  -174,  -9.110, 76
 8/28/25,   456,  24.940,   488,  26.380,   -32,  -1.440, 87
 8/27/25,   490,  26.700,   444,  23.910,    46,   2.790, 84
 8/26/25,   661,  36.100,   451,  24.340,   210,  11.760, 74
 8/25/25,   215,  11.620,   463,  24.690,  -248, -13.070, 77
 8/24/25,   385,  21.080,   359,  19.420,    26,   1.660, 88
 8/23/25,   386,  21.110,   372,  20.090,    14,   1.020, 89
 8/22/25,   443,  24.240,   417,  22.510,    26,   1.730, 88
 8/21/25,   724,  39.410,   414,  22.180,   310,  17.230, 72
 8/20/25,   222,  11.950,   482,  25.750,  -260, -13.800, 74
 8/19/25,   403,  22.030,   410,  22.160,    -7, -0.130, 88
 8/18/25,   392,  21.440,   355,  19.210,    37,   2.230, 87
 8/17/25,   368,  20.120,   382,  20.750,   -14, -0.630, 89
 8/16/25,   334,  18.280,   337,  18.190,    -3,   0.090, 90
 8/15/25,   430,  23.550,   375,  20.240,    55,   3.310, 87
 8/14/25,   488,  26.530,   477,  25.570,    11,   0.960, 85
 8/13/25,   569,  30.760,   492,  26.470,    77,   4.290, 83
 8/12/25,   472,  25.880,   503,  27.170,   -31,  -1.290, 86
 8/11/25,   491,  26.820,   450,  24.340,    41,   2.480, 85
 8/10/25,   462,  25.170,   457,  24.640,     5,   0.530, 86
 8/09/25,   419,  22.860,   455,  24.620,   -36,  -1.760, 88
 8/08/25,   376,  20.670,   384,  20.790,    -8, -0.120, 90
 8/07/25,   435,  23.860,   365,  19.750,    70,   4.110, 86
 8/06/25,   504,  27.410,   459,  24.770,    45,   2.640, 84
 8/05/25,   478,  26.020,   503,  27.090,   -25,  -1.070, 87
 8/04/25,   548,  29.900,   511,  27.560,    37,   2.340, 86
 8/03/25,   412,  22.540,   430,  23.240,   -18, -0.700, 89
 8/02/25,   376,  20.580,   355,  19.130,    21,   1.450, 90
 8/01/25,   734,  39.710,   377,  20.150,   357,  19.560, 69
 7/31/25,   142,   7.660,   473,  25.290,  -331, -17.630, 72
 7/30/25,   488,  26.670,   453,  24.600,    35,   2.070, 87
 7/29/25,   441,  24.140,   476,  25.810,   -35,  -1.670, 90
 7/28/25,   444,  24.260,   397,  21.480,    47,   2.780, 88
 7/27/25,   381,  20.810,   380,  20.590,     1,   0.220, 89
 7/26/25,   471,  25.790,   404,  21.780,    67,   4.010, 85
 7/25/25,   456,  24.630,   477,  25.660,   -21,  -1.030, 87
 7/24/25,   495,  27.050,   476,  25.720,    19,   1.330, 88
 7/23/25,   514,  28.080,   461,  24.890,    53,   3.190, 85
 7/22/25,   484,  26.590,   498,  26.970,   -14, -0.380, 86
 7/21/25,   550,  30.160,   463,  25.160,    87,   5.000, 83
 7/20/25,   335,  18.190,   431,  23.080,   -96,  -4.890, 86
